ID;Begintijd;Tijd van voltooien;E-mail;Naam;Tijd van laatste wijziging;Waar komt u vandaan?;Wat is uw leeftijd?;Hoe vaak reist u momenteel met verschillende vervoerswijzen (bv fiets naar station, vervolgens trein naar Amsterdam en tot slot OV-fiets naar bestemming) in één enkele reis?;Welke vervoersmiddelen heeft u zelf tot uw beschikking?;"Welke vervoerswijzen gebruikt u het meeste in het dagelijks leven? 

Selecteer op plaats 1 welk vervoerswijze u het vaakst gebruikt en op plek 10 welke u het minst vaak gebruikt. ";"Welke vorm van deelmobiliteit die u nog niet gebruikt, zou u het snelst overwegen?
";"Heeft u bij het plannen van uw reizen weleens gebruik gemaakt van een MaaS-applicatie? 

Een MaaS-applicatie verzamelt de verschillende transportmiddelen op één platform. Denk hierbij aan alle tra...";"Hoe vaak heeft u in het verleden van een MaaS-applicatie gebruik gemaakt?
";Via een MaaS-applicatie krijgt u direct inzicht hoe u het snelst op uw locatie kan komen doordat alle vervoersmiddelen in één applicatie gebundeld zijn om uw reis te plannen. U kan het zien als ee...;"Nog een voordeel van MaaS is dat alle kosten die u maakt aan reizen in kaart worden gebracht.
Heeft dit een toegevoegde waarde voor u om deze kosten in één overzicht te kunnen overzien? ";"Hoe tevreden bent u met de beschikbaarheid van de verschillende aangeboden vervoerwijzen binnen de gemeente Beverwijk?
";"Heeft u nog op- of aanmerking over deze enquete/ dit onderzoek?
"
11;11-23-23 15:51:01;11-23-23 15:53:59;anonymous;;;Gemeente Beverwijk;35-49 jaar;Nooit;"Auto;(Elektrische) fiets;";"Fiets;Auto/ motor;Lopen;Trein;Bus;Taxi;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;4;Ja;3;
12;11-23-23 16:22:39;11-23-23 16:25:03;anonymous;;;Gemeente Beverwijk;25-34 jaar;Meerdere keren per week;"Auto;(Elektrische) fiets;Scooter;";"Fiets;Lopen;Trein;Auto/ motor;Deelfiets (Ov-fiets, etc...);Bus;Scooter;Taxi;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-auto;Ja;Dagelijks;7;Ja;3;
13;11-23-23 21:03:22;11-23-23 21:05:22;anonymous;;;Gemeente Beverwijk;35-49 jaar;Wekelijks;"Auto;";"Lopen;Trein;Bus;Fiets;Taxi;Auto/ motor;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;2;Een intercity trein naar Amsterdam is een grote wens van veel inwoners.
14;11-23-23 22:21:50;11-23-23 22:25:50;anonymous;;;Gemeente Beverwijk;35-49 jaar;Meerdere keren per week;"(Elektrische) fiets;";"Fiets;Trein;Lopen;Bus;Deelfiets (Ov-fiets, etc...);Auto/ motor;Taxi;Scooter;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Nee;5;"Suggestieve vraagstelling bij 9 en 10, niet professioneel. Dit is dus hoe enquetes altijd ""ondersteunen"" wat de onderzoeker vooraf wilt"
15;11-23-23 23:20:37;11-23-23 23:22:09;anonymous;;;Gemeente Beverwijk;25-34 jaar;Meerdere keren per week;"Auto;Scooter;(Elektrische) fiets;";"Trein;Auto/ motor;Lopen;Fiets;Scooter;Bus;Taxi;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;6;Ja;3;Ik vraag mij af of het zinvol is aangezien vaak veel materiaal wordt gesloopt
16;11-24-23 0:22:59;11-24-23 0:25:45;anonymous;;;Gemeente Beverwijk;50-64 jaar;Zelden;"Auto;(Elektrische) fiets;";"Fiets;Auto/ motor;Lopen;Trein;Bus;Deelfiets (Ov-fiets, etc...);Deelscooter (Go-scooter, check-scooter);Taxi;Deelauto (Greenwheels, FreeNow, etc...);Scooter;";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;2;
17;11-24-23 5:56:35;11-24-23 6:00:01;anonymous;;;IJmond;50-64 jaar;Zelden;"Auto;(Elektrische) fiets;";"Lopen;Auto/ motor;Fiets;Scooter;Trein;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);Taxi;";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Ja;1;Er rijden steeds minder bussen en treinen. Dus een rare enquete! 
18;11-24-23 7:41:13;11-24-23 7:50:44;anonymous;;;Gemeente Beverwijk;50-64 jaar;Zelden;"Auto;(Elektrische) fiets;";"Auto/ motor;Fiets;Lopen;Bus;Trein;Taxi;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Scooter;Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;3;Ja;4;
19;11-24-23 8:09:17;11-24-23 8:12:51;anonymous;;;Gemeente Beverwijk;65+ jaar;Maandelijks;"Auto;(Elektrische) fiets;";"Lopen;Auto/ motor;Fiets;Trein;Scooter;Taxi;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Nee;3;Geen deelscooters graag, die gooien ze hier in sloten, stoepen worden geblokkeerd, ze worden inbrand gestoken, etc etc
20;11-24-23 8:51:36;11-24-23 8:55:30;anonymous;;;Ik werk regelmatig in Beverwijk ;35-49 jaar;Meerdere keren per week;"Auto;(Elektrische) fiets;";"Fiets;Trein;Auto/ motor;Lopen;Deelfiets (Ov-fiets, etc...);Bus;Deelscooter (Go-scooter, check-scooter);Deelauto (Greenwheels, FreeNow, etc...);Taxi;Scooter;";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;7;Ja;3;
21;11-24-23 9:07:52;11-24-23 9:09:11;anonymous;;;Gemeente Beverwijk;35-49 jaar;Maandelijks;"Auto;(Elektrische) fiets;";"Taxi;Auto/ motor;Fiets;Scooter;Trein;Lopen;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;7;Ja;4;
22;11-24-23 20:02:07;11-24-23 20:03:45;anonymous;;;Gemeente Beverwijk;50-64 jaar;Zelden;"Auto;";"Auto/ motor;Taxi;Lopen;Fiets;Scooter;Deelfiets (Ov-fiets, etc...);Trein;Bus;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;1;Nee;2;
23;11-26-23 20:25:24;11-26-23 20:27:34;anonymous;;;Gemeente Beverwijk;50-64 jaar;Zelden;"Auto;";"Auto/ motor;Lopen;Fiets;Trein;Bus;Taxi;Deelauto (Greenwheels, FreeNow, etc...);Deelfiets (Ov-fiets, etc...);Scooter;Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;1;
24;11-28-23 0:14:58;11-28-23 0:28:56;anonymous;;;IJmond;15-24 jaar;Meerdere keren per week;"(Elektrische) fiets;Auto;";"Fiets;Trein;Auto/ motor;Bus;Lopen;Deelscooter (Go-scooter, check-scooter);Deelfiets (Ov-fiets, etc...);Taxi;Scooter;Deelauto (Greenwheels, FreeNow, etc...);";Deel-fiets;Ja;Dagelijks;7;Ja;3;Ik ben zelf vanuit een IT achtergrond geneigd te pleiten voor het samenwerken met de bestaande grote spelers in de MaaS industrie door standaardisatie van deze intergratie. De drempel om dit MaaS platform te gebruiken moet ook zo laag mogelijk zijn, een volledig nieuwe app downloaden voor elke vervoersregio / dekkingsgebied is eigenlijk al een te hoge drempel. Hetzelfde is te zien bij snellaad aanbieders die inmiddels allemaal een app hebben maar inmiddels doorhebben dat of het automatisch autoriseren van een voertuig of de mogelijkheid voor het betalen met een bankpas “the way to go is”.
25;11-28-23 18:31:46;11-28-23 18:33:38;anonymous;;;IJmond;15-24 jaar;Nooit;"Auto;(Elektrische) fiets;";"Auto/ motor;Fiets;Lopen;Scooter;Taxi;Trein;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Ja;4;
26;11-28-23 18:32:34;11-28-23 18:34:02;anonymous;;;Rotterdam;15-24 jaar;Meerdere keren per week;"(Elektrische) fiets;";"Trein;Bus;Lopen;Fiets;Taxi;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);Auto/ motor;";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;7;Nee;3;
27;11-28-23 18:36:21;11-28-23 18:39:25;anonymous;;;IJmond;15-24 jaar;Zelden;"Auto;";"Auto/ motor;Lopen;Fiets;Trein;Taxi;Deelfiets (Ov-fiets, etc...);Bus;Scooter;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;2;
28;11-28-23 19:13:44;11-28-23 19:16:41;anonymous;;;Almere ;15-24 jaar;Zelden;"(Elektrische) fiets;";"Fiets;Lopen;Auto/ motor;Bus;Trein;Taxi;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-fiets;Ja;Wekelijks;10;Ja;5;Bever
29;11-28-23 20:06:50;11-28-23 20:09:13;anonymous;;;IJmond;15-24 jaar;Zelden;"Auto;(Elektrische) fiets;";"Fiets;Auto/ motor;Lopen;Bus;Trein;Deelfiets (Ov-fiets, etc...);Scooter;Taxi;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;4;
30;11-29-23 6:43:39;11-29-23 6:51:53;anonymous;;;Regio Kennemerland;50-64 jaar;Nooit;"Auto;(Elektrische) fiets;";"Fiets;Auto/ motor;Lopen;Trein;Bus;Deelfiets (Ov-fiets, etc...);Taxi;Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);Scooter;";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;6;Ja;1;Duidelijke enquete
31;12-3-23 8:44:52;12-3-23 8:52:15;anonymous;;;IJmond;15-24 jaar;Meerdere keren per week;"(Elektrische) fiets;";"Fiets;Trein;Bus;Auto/ motor;Lopen;Scooter;Deelfiets (Ov-fiets, etc...);Deelscooter (Go-scooter, check-scooter);Deelauto (Greenwheels, FreeNow, etc...);Taxi;";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;6;Ja;3;-
32;12-4-23 16:18:56;12-4-23 16:21:25;anonymous;;;IJmond;15-24 jaar;Meerdere keren per week;"(Elektrische) fiets;";"Auto/ motor;Lopen;Trein;Fiets;Bus;Deelfiets (Ov-fiets, etc...);Taxi;Deelauto (Greenwheels, FreeNow, etc...);Scooter;Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;3;
33;12-6-23 12:17:14;12-6-23 12:20:33;anonymous;;;Gemeente Beverwijk;15-24 jaar;Wekelijks;"Auto;(Elektrische) fiets;Scooter;";"Scooter;Fiets;Auto/ motor;Trein;Bus;Lopen;Deelscooter (Go-scooter, check-scooter);Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Taxi;";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;4;
34;12-8-23 17:24:34;12-8-23 17:26:37;anonymous;;;Gemeente Beverwijk;25-34 jaar;Maandelijks;"(Elektrische) fiets;";"Lopen;Fiets;Trein;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Auto/ motor;Scooter;Taxi;Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;5;Ja;3;
35;12-9-23 11:40:18;12-9-23 11:45:23;anonymous;;;Gemeente Beverwijk;25-34 jaar;Nooit;"Auto;";"Auto/ motor;Lopen;Trein;Fiets;Bus;Taxi;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;2;Ja;;
